# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
cail	চাইলো
cailam	চাইলাম
caile	চাইলে চাইলেও
cailei	চাইলেই
cailen	চাইলেন
caina	চাইনা
caini	চাইনি
cainij	চাইনিজ
caira	ছাইড়া
cait	চাইতো চাইত
caitam	চাইতাম
caite	চাইতে চাইতেও
caiten	চাইতেন
caiya	চাইয়া
cak	চাক
caka	চাকা
cakar	চাকার
cakr	চাকর
cakri	চাকরি চাকরী
cakrir	চাকরির
cakrita	চাকরিটা
caksus	চাক্ষুষ
caku	চাকু
cakuri	চাকুরি চাকুরী
cakurir	চাকুরীর
cakus	চাক্ষুষ
cal	চাল
cala	চালাও চালা
calab	চালাবো চালাব
calabe	চালাবে
calace	চালাচ্ছে
calaci	চালাচ্ছি
calai	চালাই
calak	চালাক
calaki	চালাকি
calale	চালালে
calan	চালানো চালান
calanr	চালানোর
calate	চালাতে
calay	চালায়
calit	চালিত
caliye	চালিয়ে
caliyece	চালিয়েছে
calk	চালক
calu	চালু
camc	চামচ
camra	চামড়া
camrar	চামড়ার
camray	চামড়ায়
can	চান
cana	চাওনা ছানা
candu	চান্দু
cani	চাওনি
canni	চাননি
cans	চান্স
cap	চাপ ছাপ
capa	চাপা ছাপা
cape	চাপে
caper	চাপের
capiye	চাপিয়ে
capun	চাপুন
car	চার ছাড় ছাড়ো
cara	ছাড়া ছাড়াও
carai	ছাড়াই
carar	ছাড়ার
carate	ছাড়াতে
carb	ছাড়বো ছাড়ব
carbe	ছাড়বে
carbena	ছাড়বেনা
carc	চার্চ
carce	চার্চে
carcer	চার্চের
carci	ছাড়ছি
cardik	চারদিক
cardike	চারদিকে
care	ছাড়ে
caren	ছাড়েন
caridik	চারিদিক
caridike	চারিদিকে
cariye	ছাড়িয়ে
carj	চার্জ
carjn	চারজন
carle	ছাড়লে
carli	চার্লি
carlir	চার্লির
carls	চার্লস
carlser	চার্লসের
carpas	চারপাশ
carpase	চারপাশে
carpaser	চারপাশের
cart	চার্ট
carta	চারটা
carte	ছাড়তে
carti	চারটি
carun	ছাড়ুন
cas	চাস চাষ
cata	ছাতা
catr	ছাত্র
catrder	ছাত্রদের
catri	ছাত্রী
cay	চায়
caya	চাওয়া ছায়া
cayacbi	ছায়াছবিঃ
cayar	ছায়ার চাওয়ার
cayay	ছায়ায়
cayer	চায়ের
cayna	চায়না
caynar	চায়নার
caynate	চায়নাতে
cayni	চায়নি
cbi	ছবি
cbigul	ছবিগুলো
cbir	ছবির
cbita	ছবিটা
cbite	ছবিতে
cdmbes	ছদ্মবেশ
cehara	চেহারা
ceharar	চেহারার
ceharata	চেহারাটা
ceharay	চেহারায়
cein	চেইন
cej	চেজ
cek	চেক
ceke	চেখে
ceker	চেকের
cekta	চেকটা
cele	ছেলে ছেলেও
celeder	ছেলেদের
celei	ছেলেই
celeke	ছেলেকে
celemeye	ছেলেমেয়ে
celer	ছেলের
celera	ছেলেরা
celeta	ছেলেটা
celetake	ছেলেটাকে
celetar	ছেলেটার
celeti	ছেলেটি
celetike	ছেলেটিকে
celetir	ছেলেটির
cembar	চেম্বার
cembare	চেম্বারে
cemil	চেমিল
cen	চেনো চেন
cena	চেনা অচেনা
cenai	চেন্নাই
cenar	চেনার
cene	চেনে
cenen	চেনেন
cenj	চেঞ্জ
cepe	চেপে
cer	ছেড়ো
cere	ছেড়ে ছেঁড়ে
cerece	ছেড়েছে
ceri	চেরি
cesta	চেষ্টা চেস্টা চেষ্টাও
cestai	চেষ্টাই
cestar	চেষ্টার
cestay	চেষ্টায়
cetna	চেতনা
ceyar	চেয়ার
ceyare	চেয়ারে
ceyarmyan	চেয়ারম্যান
ceye	চেয়ে চেয়েও ছেয়ে
ceyec	চেয়েছ চেয়েছো
ceyece	চেয়েছে
ceyecen	চেয়েছেন
ceyeci	চেয়েছি
ceyecil	চেয়েছিল চেয়েছিলো
ceyecilam	চেয়েছিলাম
ceyecile	চেয়েছিলে
ceyecilen	চেয়েছিলেন
ci	ছি চোই ছিঃ
cidr	ছিদ্র
cihn	চিহ্ন
cihnit	চিহ্নিত
cij	চিজ
ciken	চিকেন
cikitsa	চিকিৎসা চিকিত্সা
cikitsar	চিকিৎসার
cikitsk	চিকিৎসক
cikn	চিকন
cil	ছিল ছিলো চিওল
cila	চইলা ছিলা
cilacili	চিল্লাচিল্লি
cilam	ছিলাম
cile	ছিলে
cilen	ছিলেন
cilena	ছিলেনা
ciler	চিওলের
cili	ছিলি
cilke	চিওলকে
cilna	ছিলনা ছিলোনা
cin	চিনো চীন ছিন্ন চিন
cina	চীনা
cinbe	চিনবে
cine	চিনে চীনে
cinen	চিনেন
ciner	চীনের
cingri	চিংড়ি
cini	চিনি
cinina	চিনিনা
cinis	চিনিস
ciniye	ছিনিয়ে
cint	চিনতো
cinta	চিন্তা চিন্তাও
cintababna	চিন্তাভাবনা
cintai	ছিনতাই
cintam	চিনতাম
cintar	চিন্তার
cintay	চিন্তায়
cinte	চিনতে
cintit	চিন্তিত
cip	চীফ চিফ চিপ
cipay	চিপায়
cips	চিপস
cipta	চীপটা
cirdin	চিরদিন
cirdiner	চিরদিনের
cire	ছিঁড়ে ছিড়ে
ciriyakana	চিড়িয়াখানা
ciriyakanar	চিড়িয়াখানার
ciriyakanay	চিড়িয়াখানায়
cirjibn	চিরজীবন
cirjibner	চিরজীবনের
cirkal	চিরকাল
cirkaler	চিরকালের
cirte	ছিঁড়তে
cirtre	চিরতরে
cit	চিট
citakrsk	চিত্তাকর্ষক
citi	চিঠি
citigul	চিঠিগুলো
citing	চিটিং
citir	চিঠির
citita	চিঠিটা
citite	চিঠিতে
citiye	ছিটিয়ে
citkar	চিৎকার চিত্কার
citke	ছিটকে
citr	চিত্র
ciyars	চিয়ার্স
ck	চোখ
ckcke	চকচকে
cke	চোখে
ckei	চোখেই
cker	চোখের
ckgul	চোখগুলো
ckke	চোখকে
cklet	চকলেট চকোলেট
ckleter	চকলেটের
ckr	চক্কর চক্র
ckra	ছোকরা
ckta	চোখটা
cl	চলো চল অচল
cla	চলা চোলা
clacl	চলাচল
clapera	চলাফেরা
clar	চলার
clb	চলবো
clbe	চলবে
clbena	চলবেনা
clce	চলছে
clci	চলছি
clcil	চলছিল চলছিলো
cle	চলে
clea	চলো
clece	চলেছে
clecen	চলেছেন
cleci	চলেছি
clei	চলেই
clen	চলেন
cli	চলি
clis	চল্লিশ
cllam	চললাম
clle	চললে
clman	চলমান
clnt	চলন্ত
clte	চলতে
cltei	চলতেই
clun	চলুন
cmk	চমক
cmke	চমকে
cmkprd	চমকপ্রদ
cmtkar	চমৎকার চমত্কার
cnd	ছন্দ
cndr	চন্দ্র
cpar	চপার
cr	চোর চড়
cra	চওড়া চড়া ছোড়া
cray	ছড়ায়
crbi	চর্বি
crca	চর্চা
cre	চড়ে
crer	চোরের
cri	ছড়ি
critr	চরিত্র
critrer	চরিত্রের
criye	ছড়িয়ে
criyece	ছড়িয়েছে
crke	চোরকে
crm	চরম
crte	চড়তে
cse	চষে
csma	চশমা
ct	ছোট ছোট্ট ছোটো ছোট্টো
ctbela	ছোটবেলা
ctbelar	ছোটবেলার
ctbelay	ছোটবেলায়
ctkat	ছোটখাটো ছোটখাট
ctur	চতুর
cturt	চতুর্থ
cu	ছু
cubena	ছুবেনা
cud	চৌদ্দ
cudi	চুদি
cudte	চুদতে
cuduri	চৌধুরী
cuingam	চুইংগাম
cukti	চুক্তি
cuktir	চুক্তির
cuktita	চুক্তিটা
cuktite	চুক্তিতে
cul	চুল
cule	চুলে
culer	চুলের
cum	চুমো
cumu	চুমু
cumuk	চুমুক
cup	চুপ
cupcap	চুপচাপ
curant	চূড়ান্ত
curay	চূড়ায়
cure	ছুড়ে ছুঁড়ে
curi	চুরি ছুরি ছুড়ি
curikagat	ছুরিকাঘাত
curir	চুরির ছুরির
curita	ছুরিটা
curmar	চুরমার
cute	ছুটে ছুঁতে
cuti	ছুটি
cutir	ছুটির
cutite	ছুটিতে
cuye	ছুঁয়ে
cy	ছয়
cya	ছোঁয়া
cyal	চোয়াল
cyalenj	চ্যালেঞ্জ
cyampiyn	চ্যাম্পিয়ন
cyan	চ্যান
cyandlar	চ্যান্ডলার
cyanel	চ্যানেল
cyanele	চ্যানেলে
cyanselr	চ্যান্সেলর
cyapel	চ্যাপেল
cyaptar	চ্যাপ্টার
cyjn	ছয়জন
cyta	ছয়টা
d	ডঃ ড দ
da	দাও দা ডা ডাঃ
daba	ধাওয়া দাবা দাওয়া
dabar	দাবার
dabat	দাওয়াত
dabi	দাবি দাবী
dabl	ডাবল
dablin	ডাবলিন
dada	দাদা ধাঁধা
dadabai	দাদাভাই
dadake	দাদাকে
dadar	দাদার
dadi	দাদী
dadima	দাদীমা
dadimar	দাদীমার
dadir	দাদীর
dadu	দাদু
dag	দাগ
daha	ডাহা
daini	ডাইনি ডাইনী
daining	ডাইনিং
dainir	ডাইনীর
dainsr	ডাইনোসর
dainsrer	ডাইনোসরের
dairektr	ডাইরেক্টর
dak	ডাক ডাকো
daka	ধাক্কা ডাকা ঢাকা
dakar	ডাকার
dakat	ডাকাত
dakati	ডাকাতি
dakatir	ডাকাতির
dakb	ডাকবো ডাকব
dakbe	ডাকবে
dakce	ডাকছে
dakci	ডাকছি
dake	ডাকে
daki	ডাকি
dakle	ডাকলে
dakt	ডাকতো
daktam	ডাকতাম
daktar	ডাক্তার
daktarer	ডাক্তারের
daktari	ডাক্তারি
daktarke	ডাক্তারকে
daktarra	ডাক্তাররা
dakte	ডাকতে
dakun	ডাকুন
dal	ঢাল ডাল
dalal	দালাল
daltn	ডাল্টন
dalu	ঢালু
dam	দাম
dambldr	ডাম্বলডোর
dambldrer	ডাম্বলডোরের
dame	দামে
dami	দামী দামি
dan	ডান দান
dana	ডানা
danb	দানব
danber	দানবের
danda	ধান্দা
danday	ধান্দায়
dandike	ডানদিকে
dane	ডানে
danga	দাঙ্গা
dangka	ডাঙ্কা
dani	দাওনি
daniyel	দানিয়েল
dap	ধাপ
dape	ধাপে
dapn	দাফন
dar	ধার দাঁড় দাড়
dara	দাঁড়াও দাড়াও দাঁড়া দাড়া ধারা দারাও দাড়াঁও
darabe	দাঁড়াবে
daral	ধারালো
daran	দাঁড়ান দাড়ান দাঁড়ানো
darate	দাঁড়াতে দাড়াতে
daray	দাঁড়ায় দাড়ায়
dardn	ডার্ডন
dare	ধারে
dari	দাড়ি
dariye	দাঁড়িয়ে দাড়িয়ে
dariyece	দাঁড়িয়েছে
dark	ডার্ক
darling	ডার্লিং
darmik	ধার্মিক
darn	ধারণ ধারন
darna	ধারণা ধারনা
darnai	ধারণাই ধারনাই
darnar	ধারনার ধারণার
darun	দারুণ দারুন
daryan	দারোয়ান
das	দাস
dat	দাঁত দাত
data	ডাটা
datb	ধাতব
dater	দাঁতের
datu	ধাতু
datur	ধাতুর
daun	ডাউন
daunld	ডাউনলোড
day	দায়
daya	ধাওয়া দাওয়া
dayal	ডায়াল
dayana	ডায়ানা
dayat	দাওয়াত
daybar	দায়ভার
daye	দায়ে
dayer	দায়ের
dayeri	ডায়েরি
dayi	দায়ী
dayitb	দায়িত্ব দায়ীত্ব
dayitbe	দায়িত্বে
dayitber	দায়িত্বের
daymnd	ডায়মন্ড
dayna	ডায়না
dbar	দ্বার
dbara	দ্বারা
dbarai	দ্বারাই
dbayitb	দ্বায়িত্ব
dbi	ডবি
dbida	দ্বিধা
dbidagrst	দ্বিধাগ্রস্ত
dbigun	দ্বিগুণ
dbip	দ্বীপ
dbipe	দ্বীপে
dbiper	দ্বীপের
dbitiy	দ্বিতীয় অদ্বিতীয়
dbitiybar	দ্বিতীয়বার
dbitiyt	দ্বিতীয়ত
dbndb	দ্বন্দ্ব
dbngs	ধ্বংস
dbngsabses	ধ্বংসাবশেষ
dbngser	ধ্বংসের
dbni	ধ্বনি
dbud	অদ্ভুদ
dbut	অদ্ভুত অদ্ভূত
de	দে ডে দেও
deb	দেবো দেব ডেভ
deba	দেওয়া
debar	দেওয়ার দেবার
debata	দেওয়াটা
debdut	দেবদূত
debe	দেবে
deben	দেবেন
debena	দেবেনা
debi	দেবী
debid	ডেভিড
debider	ডেভিডের
debidke	ডেভিডকে
debis	ডেভিস
debta	দেবতা
debtader	দেবতাদের
debtar	দেবতার
debtara	দেবতারা
dedst	ডেডশট
deh	দেহ
dehe	দেহে
deher	দেহের
dei	দেই
deika	দেইখা
deini	দেইনি
dek	দেখো দেখ ডেক ডেকো
deka	দেখা দেখাও
dekab	দেখাবো দেখাব
dekabe	দেখাবে
dekaben	দেখাবেন
dekac	দেখাচ্ছ দেখাচ্ছো
dekace	দেখাচ্ছে
dekaci	দেখাচ্ছি
dekacil	দেখাচ্ছিল
dekai	দেখাই
dekale	দেখালে
dekan	দেখানো দেখান
dekanr	দেখানোর
dekar	দেখার
dekasna	দেখাশোনা
dekasnar	দেখাশোনার
dekasuna	দেখাশুনা
dekat	দেখাত
dekate	দেখাতে
dekatei	দেখাতেই
dekay	দেখায়
dekb	দেখবো দেখব
dekbal	দেখভাল
dekbe	দেখবে
dekben	দেখবেন
dekbi	দেখবি
dekc	দেখছো দেখছ
dekce	দেখছে
dekcen	দেখছেন
dekci	দেখছি
dekcilam	দেখছিলাম
dekcile	দেখছিলে
dekcina	দেখছিনা
dekcis	দেখছিস
deke	দেখে ডেকে ঢেকে দেখেও
dekec	দেখেছ দেখেছো
dekece	দেখেছে ডেকেছে
dekecen	দেখেছেন ডেকেছেন
dekeci	দেখেছি ডেকেছি
dekecil	দেখেছিল দেখেছিলো
dekecilam	দেখেছিলাম
dekecile	দেখেছিলে
dekecilen	দেখেছিলেন
dekecis	দেখেছিস
dekei	দেখেই
deken	দেখেন
dekeni	দেখেনি
dekenni	দেখেননি
deker	ডেকের
dekesune	দেখেশুনে
deki	দেখি
dekina	দেখিনা
dekini	দেখিনি
dekis	দেখিস
dekiye	দেখিয়ে
dekiyec	দেখিয়েছ দেখিয়েছো
dekiyece	দেখিয়েছে
dekiyecen	দেখিয়েছেন
dekiyeci	দেখিয়েছি
dekl	দেখলো
deklam	দেখলাম
dekle	দেখলে
deklei	দেখলেই
deklen	দেখলেন
dekli	দেখলি
deklyan	ডেক্ল্যান
dekni	দেখনি দেখোনি
dekt	দেখত দেখতো
dektam	দেখতাম
dekte	দেখতে দেখতেও
dektei	দেখতেই
dekuk	দেখুক
dekun	দেখুন
del	ডেল
dele	ঢেলে
delibari	ডেলিভারি
delta	ডেল্টা
den	দেন
denhyam	ডেনহ্যাম
denij	ডেনিজ
denis	ডেনিস
deniyels	ডেনিয়েলস
denni	দেননি
dent	ডেন্ট
denter	ডেন্টের
deputi	ডেপুটি
der	ওদের দের দেড়
derek	ডেরেক
deri	দেরি দেরী
derite	দেরিতে
derke	ওদেরকে
des	দেশ
dese	দেশে
deser	দেশের
desk	ডেস্ক
deske	দেশকে ডেস্কে
desker	ডেস্কের
desmnd	ডেসমন্ড
det	ডেট ধেৎ ডেথ
deta	ডেটা
dete	ডেটে
deteri	ধেত্তেরি
deting	ডেটিং
detnetr	ডেটোনেটর
deu	ঢেউ
deuliya	দেউলিয়া
deuyer	ঢেউয়ের
dey	দেয়
deya	দেয়া দেওয়া
deyal	দেয়াল
deyale	দেয়ালে
deyaler	দেয়ালের
deyar	দেওয়ার দেয়ার
deyata	দেওয়াটা
deyna	দেয়না
deyni	দেয়নি
dg	ডগ
dhai	দোহাই
di	দিও ডি দি ওডি
dib	দিব দিবো
diba	দিবা
dibais	ডিভাইস
dibasi	অধিবাসী
dibe	দিবে
diben	দিবেন
dibena	দিবেনা
dibi	দিবি
dibidi	ডিভিডি
dibiya	দিভিয়া
dibna	দিবনা
dibrs	ডিভোর্স
dibs	দিবস
dibyi	দিব্যি
dic	দিচ্ছ দিচ্ছো
dice	দিচ্ছে দিছে
dicen	দিচ্ছেন
dicena	দিচ্ছেনা
dici	দিচ্ছি দিছি
dicil	দিচ্ছিল দিচ্ছিলো
dicilam	দিচ্ছিলাম
dicina	দিচ্ছিনা
dicis	দিচ্ছিস
didi	দিদি
didra	ডিডরা
diene	ডিএনএ
dignt	দিগন্ত
digri	ডিগ্রী ডিগ্রি ডিগরি
dii	দিই
diini	দিইনি
dijain	ডিজাইন
dijital	ডিজিটাল
dik	দিক অধিক ওদিক ডিক
dikangs	অধিকাংশ
dikangsi	অধিকাংশই
dikar	অধিকার
dikarer	অধিকারের
dikari	অধিকারী
dike	দিকে ওদিকে
dikei	দিকেই
diker	দিকের
dikta	দিকটা
dil	দিল দিলো ডিল ঢিল
dila	ঢিলা
dilam	দিলাম
dilan	ডিলান
dile	দিলে দিলেও
dilei	দিলেই
dilek	দিলেক
dilen	দিলেন
dili	দিলি দিল্লি
dilit	ডিলিট
dim	ডিম
dimentr	ডিমেন্টর
dimentrder	ডিমেন্টরদের
dimentrra	ডিমেন্টররা
dimer	ডিমের
dimu	দিমু
din	দিন ডিনো দিনও ডিন ডীন
dina	দিওনা ডিনা
dinar	ডিনার দিনার
dinare	ডিনারে
dinarer	ডিনারের
dine	দিনে অধীনে
dinei	দিনেই
diner	দিনের
dingul	দিনগুলো
dini	দিনই
dinik	দৈনিক
dinkal	দিনকাল
dinke	দিনকে
dinndin	দৈনন্দিন
dinta	দিনটা
dintar	দিনটার
dinti	দিনটি
dintike	দিনটিকে
dipartment	ডিপার্টমেন্ট
dipartmente	ডিপার্টমেন্টে
dipartmenter	ডিপার্টমেন্টের
dipens	ডিফেন্স
dipjit	ডিপোজিট
dir	ধীর অধীর
dira	ধইরা
dire	ধীরে
direktr	ডিরেক্টর
dirg	দীর্ঘ
dirgsbas	দীর্ঘশ্বাস
diry	ধৈর্য ধৈর্য্য
dis	দিস
dise	দিসে
disembr	ডিসেম্বর
disk	ডিস্ক
distarb	ডিস্টার্ব
distrikt	ডিস্ট্রিক্ট
dit	দিত দিতো
ditam	দিতাম
dite	দিতে দিতেও
ditei	দিতেই
ditektib	ডিটেকটিভ
diten	দিতেন
dity	দৈত্য
dityder	দৈত্যদের
dityra	দৈত্যরা
diuk	ডিউক
diuti	ডিউটি
diy	দিয়ো
diya	দিয়া
diyar	ডিয়ার
diye	দিয়ে দিয়েও
diyec	দিয়েছ দিয়েছো
diyece	দিয়েছে
diyecen	দিয়েছেন
diyeci	দিয়েছি
diyecil	দিয়েছিল দিয়েছিলো
diyecilam	দিয়েছিলাম
diyecile	দিয়েছিলে
diyecilen	দিয়েছিলেন
diyecili	দিয়েছিলি
diyecis	দিয়েছিস
diyei	দিয়েই
diyen	দিয়েন
diyetar	ডিয়েটার
dj	ডোজ
djn	ডজন
dk	দক্ষ ডক ঢোকো ঢোক
dka	ধোঁকা ধোকা ঢোকা
dkabaj	ধোঁকাবাজ
dkabaji	ধোঁকাবাজি
dkan	দোকান
dkane	দোকানে
dkaner	দোকানের
dkanta	দোকানটা
dkar	ঢোকার
dke	ঢোকে
dkin	দক্ষিণ দক্ষিন
dkine	দক্ষিণে দক্ষিনে
dkiner	দক্ষিণের
dking	ডকিং
dkl	দখল ধকল
dkle	দখলে
dks	দক্ষ
dksin	দক্ষিণ দক্ষিন
dksine	দক্ষিণে দক্ষিনে
dksiner	দক্ষিণের
dksta	দক্ষতা
dkstar	দক্ষতার
dkta	দক্ষতা
dktar	দক্ষতার
dktr	ডক্টর
dkument	ডকুমেন্ট
dl	দল ডল
dlar	ডলার
dlare	ডলারে
dlarer	ডলারের
dle	দলে
dler	দলের
dli	ডলি
dlil	দলিল
dlke	দলকে
dlneta	দলনেতা
dm	দম ডম
dminent	ডমিনেন্ট
dminenter	ডমিনেন্টের
dmki	ধমকি
dmn	দমন
dmpti	দম্পতি
dn	ডন ধন ধোন
dnald	ডোনাল্ড
dng	ডং ঢং
dngs	ধংস
dni	ধনী ডোনি ডনি
dnuk	ধনুক
dny	ধন্য
dnybad	ধন্যবাদ
dptr	দপ্তর
dr	ধরো ধর ডোর দর
dra	ধরা
drag	ড্রাগ
dragan	ড্রাগান
dragn	ড্রাগন
dragner	ড্রাগনের
dragnke	ড্রাগনকে
drags	ড্রাগস
draib	ড্রাইভ
draibar	ড্রাইভার
draibarer	ড্রাইভারের
draibarke	ড্রাইভারকে
draibing	ড্রাইভিং
draiskl	ড্রাইসকোল
drak	ড্রাক
draks	ড্রাক্স
drakula	ড্রাকুলা
dram	ড্রাম
drar	ধরার
drb	ধরবো ধরব
drbe	ধরবে
drben	ধরবেন
drbena	ধরবেনা
drbi	ধরবি
drce	ধরছে
drci	ধরছি
dre	ধরে
drec	ধরেছ ধরেছো
drece	ধরেছে
drecen	ধরেছেন
dreci	ধরেছি
drecil	ধরেছিল ধরেছিলো
drecilam	ধরেছিলাম
drecile	ধরেছিলে
drei	ধরেই
dremyan	ড্রেম্যান
dres	ড্রেস
dri	দড়ি ধরি ডরি
dridr	দরিদ্র
dril	ড্রিল
dringk	ড্রিংক ড্রিঙ্ক
dringks	ড্রিঙ্কস
drir	দৃঢ়
dristant	দৃষ্টান্ত
dristi	দৃষ্টি
dristibngi	দৃষ্টিভঙ্গি
dristikn	দৃষ্টিকোণ
dristir	দৃষ্টির
dristite	দৃষ্টিতে
drisy	অদৃশ্য দৃশ্য
drisyt	দৃশ্যত
driya	ডোরিয়া
driye	ধরিয়ে
drja	দরজা
drjagul	দরজাগুলো
drjar	দরজার
drjata	দরজাটা
drjay	দরজায়
drkar	দরকার
drkari	দরকারি
drl	ধরল
drlam	ধরলাম
drle	ধরলে
drm	ধর্ম
drme	ধর্মে
drmer	ধর্মের
drmguru	ধর্মগুরু
drmguruder	ধর্মগুরুদের
drmiy	ধর্মীয়
drn	ড্রোন ধরন ধরণ
drner	ধরনের ধরণের
drp	ড্রপ
drsk	দর্শক
drskder	দর্শকদের
drskra	দর্শকরা
drsn	দর্শন ধর্ষণ ধর্ষন
drsner	ধর্ষণের
drte	ধরতে
drun	ধরুন
drut	দ্রুত
drutgami	দ্রুতগামী
druti	দ্রুতই
ds	দোষ দশ ডস
dsa	দশা
dsarp	দোষারোপ
dsi	দোষী
dsk	দশক
dske	দশকে
dsn	ডওসন
dst	দোস্ত দোস্তো
dsta	দশটা দোষটা
dstra	দোস্তরা
dsyu	দস্যু
dt	ডট
dtk	দত্তক
du	দু ডু
dubar	দুবার
dube	ডুবে
dubiye	ডুবিয়ে
dud	দুধ ডুড
duder	দুধের
dudin	দুদিন
dudiner	দুদিনের
dui	দুই
duibar	দুইবার
duidin	দুইদিন
duijn	দুইজন
duijnei	দুইজনেই
duijner	দুইজনের
duijnke	দুইজনকে
duita	দুইটা
duitai	দুইটাই
duiti	দুইটি
dujn	দুজন
dujne	দুজনে
dujnei	দুজনেই
dujner	দুজনের
dujneri	দুজনেরই
dujni	দুজনই
dujnke	দুজনকে
dujnkei	দুজনকেই
duk	দুঃখ ঢুকো
duka	ঢুকাও
dukate	ঢুকাতে
dukb	ঢুকবো
dukbe	ঢুকবে
dukce	ঢুকছে
dukci	ঢুকছি
duke	ঢুকে দুঃখে
dukece	ঢুকেছে
dukeci	ঢুকেছি
duker	দুঃখের
duki	দুঃখী
dukit	দুঃখিত
dukiye	ঢুকিয়ে
dukiyece	ঢুকিয়েছে
dukjnk	দুঃখজনক
dukl	ঢুকলো
dukle	ঢুকলে
dukte	ঢুকতে
dul	ধুলো
dula	ধুলা
dulabai	দুলাভাই
dumpan	ধূমপান ধুমপান
duniya	দুনিয়া
duniyake	দুনিয়াকে
duniyar	দুনিয়ার
duniyata	দুনিয়াটা
duniyate	দুনিয়াতে
duniyay	দুনিয়ায়
dupur	দুপুর
dupure	দুপুরে
dupurer	দুপুরের
dur	দূর ধুর দৌড় দুর ধুরো
dura	দৌড়াও দৌড়া দৌঁড়াও
durabe	দৌড়াবে
duran	দৌড়ানো
duranr	দৌড়ানোর
durate	দৌড়াতে
durbagy	দুর্ভাগ্য
durbagybst	দুর্ভাগ্যবশত
durbl	দুর্বল দূর্বল
durblta	দুর্বলতা
durbrit	দুর্বৃত্ত
durdant	দুর্দান্ত
durdsa	দুর্দশা
dure	দূরে দুরে দৌড়ে
durer	দূরের দুরের
durg	দুর্গ
durge	দুর্গে
durger	দুর্গের
durgnd	দুর্গন্ধ
durgtna	দুর্ঘটনা দূর্ঘটনা
durgtnar	দুর্ঘটনার
durgtnastle	দুর্ঘটনাস্থলে
durgtnay	দুর্ঘটনায়
durlb	দুর্লভ
durmuly	দুর্মূল্য
durniti	দুর্নীতি
durt	ধূর্ত
durtb	দূরত্ব
durtbe	দূরত্বে
duryg	দুর্যোগ
dus	ধুস
dusahsi	দুঃসাহসী
dusbpn	দুঃস্বপ্ন
duscinta	দুশ্চিন্তা
dusit	দূষিত
dusmn	দুশমন
dusmnder	দুশমনদের
dusn	দূষণ
dusngbad	দুঃসংবাদ
dust	দুষ্ট
dustami	দুষ্টামি
dustu	দুষ্টু
dustumi	দুষ্টুমি
dut	দুটো
duta	দুটা
dutabas	দূতাবাস
dute	ধুতে
duti	দুটি দুটোই
dutke	দুটোকে
dutr	দুটোর
duyarp	ডুয়ার্ফ
duye	ধুয়ে
duyek	দুয়েক
duyen	ডুয়েন
duyet	ডুয়েট
dy	দ্য
dya	দয়া দ্যা দোয়া ধোঁয়া ধোয়া
dyabid	ড্যাভিড
dyad	ড্যাড
dyadi	ড্যাডি
dyak	দ্যাখো দ্যাখ
dyakre	দয়াকরে
dyalin	ডোয়ালিন
dyalu	দয়ালু
dyan	ড্যান ধ্যান
dyanglar	ড্যাংলার
dyani	ড্যানি
dyaniyel	ড্যানিয়েল
dyans	ড্যান্স
dyantn	ড্যান্টন
dyapk	অধ্যাপক
dyar	দয়ার ড্যারো ধোঁয়ার
dyaren	ড্যারেন
dyas	ড্যাশ
dyat	ধ্যাত দ্যাট ধ্যাৎ
dyateri	ধ্যাত্তেরি
dyay	অধ্যায় দয়ায়
dyud	ড্যুড
dyunan	ড্যুনান
e	এ এও
ebabe	এভাবে
ebabei	এভাবেই
ebanra	এভানোরা
ebar	এবার
ebardin	এভারডিন
ebare	এবারে
ebarer	এবারের
ebari	এবারই
ebiniu	এভিনিউ
ebng	এবং
ecara	এছাড়া এছাড়াও
ed	এড
edbard	এডওয়ার্ড
edbards	এডওয়ার্ডস
edbardser	এডওয়ার্ডসের
eder	এদের
ederke	এদেরকে
edi	এডি
edik	এদিক
edike	এদিকে
edikei	এদিকেই
edmand	এডমান্ড
edmnd	এডমন্ড
edrner	এধরনের
edyard	এডওয়ার্ড
edyards	এডওয়ার্ডস
edyardser	এডওয়ার্ডসের
eg	এগোও
egiye	এগিয়ে
egsi	এগসি
egte	এগোতে
egul	এগুলো
egula	এগুলা
egulea	এগুলো
eguli	এগুলি এগুলোই
egulke	এগুলোকে
egulr	এগুলোর
egulte	এগুলোতে
eh	এহ
ehn	এহন
ei	এই
eibabe	এইভাবে
eibar	এইবার
eic	এইচ
eida	এইডা
eidai	এইডাই
eidike	এইদিকে
eigul	এইগুলো
eigula	এইগুলা
eiguli	এইগুলি
eihane	এইহানে
eije	এইযে
eijny	এইজন্য
eijnyi	এইজন্যই
eikane	এইখানে
eimatr	এইমাত্র
eirkm	এইরকম
eis	এইস
eisb	এইসব
eit	এইতো এইত
eita	এইটা
eitai	এইটাই
eitar	এইটার
eitukui	এইটুকুই
ejenr	এজেনর
ejent	এজেন্ট
ejenter	এজেন্টের
ejentra	এজেন্টরা
ejny	এজন্য
ejnyei	এজন্যেই
ejnyi	এজন্যই
ek	এক
eka	একা
ekadik	একাধিক
ekai	একাই
ekaki	একাকী
