# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
apdet	আপডেট
apekikta	আপেক্ষিকতা
apeksikta	আপেক্ষিকতা
apel	আপেল
apganistan	আফগানিস্তান
apganistane	আফগানিস্তানে
apld	আপলোড
apn	আপন
apnader	আপনাদের
apnaderke	আপনাদেরকে
apnake	আপনাকে আপনাকেও
apnakei	আপনাকেই
apnar	আপনার অাপনার
apnara	আপনারা
apnari	আপনারই
apnarta	আপনারটা
apne	আপনে আপ্নে
apner	আপনের
apni	আপনি আপনিও অাপনি
apnii	আপনিই
aprad	আফ্রাদ
aprika	আফ্রিকা
aprikan	আফ্রিকান
aprikar	আফ্রিকার
aprikay	আফ্রিকায়
apss	আফসোস
apti	আপত্তি
apu	আপু
ar	আর আরো আরও অার
arai	আড়াই
aral	আড়াল
arale	আড়ালে
aram	আরাম
aramdayk	আরামদায়ক
arame	আরামে
aramse	আরামসে
arb	আরব
arbing	আরভিং
arcar	আর্চার
are	আরে
areh	আরেহ
arek	আরেক
arekbar	আরেকবার
arekjn	আরেকজন
arekjner	আরেকজনের
arekjnke	আরেকজনকে
arekta	আরেকটা
arekti	আরেকটি
arektu	আরেকটু
arhn	আরোহণ
ari	আড়ি
ariya	আরিয়া
ariyan	আরিয়ান
arjent	আর্জেন্ট
ark	আর্ক
arkaib	আর্কাইভ
arki	আরকি
arkta	আর্কটা
arl	আরলো
armb	আরম্ভ
armi	আর্মি
armider	আর্মিদের
armir	আর্মির
armite	আর্মিতে
armsbi	আর্মসবি
arp	আরোপ
art	আর্ট আর্থ
artar	আর্থার
artik	আর্থিক
artikel	আর্টিকেল
artnad	আর্তনাদ
as	আসো আস অাসো
asa	আশা আসা
asakri	আশাকরি
asami	আসামী আসামি
asamike	আসামীকে
asar	আসার আশার
asata	আসাটা
asay	আশায় আসায়
asb	আসবো আসব
asbas	আশ্বাস
asbe	আসবে
asbei	আসবেই
asben	আসবেন
asbena	আসবেনা
asbi	আসবি
asc	আসছ আসছো
asce	আসছে
ascen	আসছেন
ascena	আসছেনা
asci	আসছি
ascil	আসছিল আসছিলো
ascilam	আসছিলাম
ascis	আসছিস
ascry	আশ্চর্য
ascryer	আশ্চর্যের
ascryjnk	আশ্চর্যজনক
ase	আসে আশে
asea	আসো
asen	আসেন
asena	আসেনা
aseni	আসেনি
asepase	আশেপাশে
asepasei	আশেপাশেই
asepaser	আশেপাশের
asi	আসি
asini	আসিনি
asirbad	আশীর্বাদ
asis	আসিস
askt	আসক্ত
asl	আসল আসলো
aslam	আসলাম
aslan	আসলান
aslaner	আসলানের
asle	আসলে অাসলে
aslei	আসলেই
aslen	আসলেন
asli	আসলি
asn	আসন আসন্ন
asne	আসনে
asngka	আশঙ্কা আশংকা
asni	আসোনি
asry	আশ্রয়
assalamu	আসসালামু
ast	আস্ত আসতো আসত
asta	আস্থা
astam	আসতাম
astana	আস্তানা
aste	আসতে আস্তে
astece	আসতেছে
asteci	আসতেছি
astei	আসতেই
asuk	আসুক
asun	আসুন
at	আট
ata	আত্তা আঠা
atay	আওতায়
atk	আটক
atka	আটকা আটকাও
atkan	আটকানো
atkate	আটকাতে
atke	আটকে আঁটকে
atkece	আটকেছে
atkiye	আটকিয়ে
atma	আত্মা
atmader	আত্মাদের
atmake	আত্মাকে
atmar	আত্মার
atmbisbas	আত্মবিশ্বাস
atmbisbasi	আত্মবিশ্বাসী
atmhtya	আত্মহত্যা
atmhtyar	আত্মহত্যার
atmiy	আত্মীয়
atmrka	আত্মরক্ষা
atmrksa	আত্মরক্ষা
atmsmrpn	আত্মসমর্পণ
atna	আত্না
atnar	আত্নার
atngk	আতঙ্ক আতংক
atngkit	আতঙ্কিত
atnsmrpn	আত্নসমর্পণ
atsbaji	আতশবাজি
atta	আটটা
attayi	আততায়ী
au	আউ
auc	আউচ
aut	আউট
ay	আয় অায়
ayaj	আওয়াজ
ayajer	আওয়াজের
ayasti	আওয়াস্তি
ayat	আয়াত
ayes	আয়েশ
ayjn	আয়োজন
ayla	আয়লা
aymn	আ্যমন
ayna	আয়না
aynar	আয়নার
aynay	আয়নায়
ayrn	আয়রন
ayte	আয়ত্তে
ayu	আয়ু
b	অব বো
ba	বা ওয়াও ওয়া বাঁ ভা
bab	ভাব ভাবো অভাব
baba	বাবা ভাবা বাবাও বাব্বা
babai	বাবাই
babaji	বাবাজি
babake	বাবাকে
babar	বাবার ভাবার
babb	ভাববো
babbe	ভাববে
babben	ভাববেন
babc	ভাবছ ভাবছো
babce	ভাবছে
babcen	ভাবছেন
babci	ভাবছি
babcilam	ভাবছিলাম
babcile	ভাবছিলে
babcis	ভাবছিস
babe	ভাবে ওভাবে অভাবে
babei	ভাবেই ওভাবেই
baben	ভাবেন
babi	ভাবি ভাবী
babini	ভাবিনি
babis	ভাবিস
babl	বাবল ভাবলো
bablam	ভাবলাম
bable	ভাবলে
babna	ভাবনা
babnar	ভাবনার
babt	ভাবত ভাবতো
babtam	ভাবতাম
babte	ভাবতে ভাবতেও
babtei	ভাবতেই
babu	বাবু
babun	ভাবুন
baburci	বাবুর্চি
bac	ওয়াচ বাঁচো
baca	বাচ্চা বাঁচাও বাছা বাচাও বাঁচা
bacab	বাঁচাব
bacabe	বাঁচাবে
bacader	বাচ্চাদের
bacaderke	বাচ্চাদেরকে
bacadn	বাছাধন
bacagul	বাচ্চাগুলো
bacai	বাছাই
bacakaca	বাচ্চাকাচ্চা
bacake	বাচ্চাকে
bacan	বাঁচান বাঁচানো
bacanr	বাঁচানোর বাচানোর
bacar	বাচ্চার বাঁচার বাচার
bacara	বাচ্চারা বাছারা
bacata	বাচ্চাটা
bacatake	বাচ্চাটাকে
bacatar	বাচ্চাটার
bacate	বাঁচাতে বাচাতে বাচাঁতে
bacati	বাচ্চাটি
bacb	বাঁচবো
bacbe	বাঁচবে
bacer	ওয়াচের
baci	বাঁচি
baciye	বাঁচিয়ে বাচিয়ে
baciyec	বাঁচিয়েছ
baciyece	বাঁচিয়েছে
baciyecen	বাঁচিয়েছেন
baciyeci	বাঁচিয়েছি
baciyecil	বাঁচিয়েছিল
